('Episode: ', 0, 'score -134.50', 'average_score -134.50', 'epsilon 0.61')('\nAtravessou: ', 0, '\n')
('Episode: ', 1, 'score -160.50', 'average_score -147.50', 'epsilon 0.16')('\nAtravessou: ', 0, '\n')
('Episode: ', 2, 'score -181.50', 'average_score -158.83', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 3, 'score -181.50', 'average_score -164.50', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 4, 'score -181.00', 'average_score -167.80', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 5, 'score -181.00', 'average_score -170.00', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 6, 'score -181.50', 'average_score -171.64', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 7, 'score -182.00', 'average_score -172.94', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 8, 'score -180.00', 'average_score -173.72', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 9, 'score -182.00', 'average_score -174.55', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 10, 'score -181.00', 'average_score -175.14', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 11, 'score -181.50', 'average_score -175.67', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 12, 'score -181.00', 'average_score -176.08', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 13, 'score -181.50', 'average_score -176.46', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 14, 'score -181.00', 'average_score -176.77', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 15, 'score -181.50', 'average_score -177.06', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 16, 'score -182.00', 'average_score -177.35', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 17, 'score -181.00', 'average_score -177.56', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 18, 'score -181.50', 'average_score -177.76', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 19, 'score -181.50', 'average_score -177.95', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 20, 'score -182.00', 'average_score -178.14', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
('Episode: ', 21, 'score -181.50', 'average_score -178.30', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
============
('Episode: ', 0, 'score -137.00', 'average_score -137.00', 'epsilon 0.61')('\nAtravessou: ', 0, '\n')('Episode: ', 1, 'score -123.00', 'average_score -130.00', 'epsilon 0.16')('\nAtravessou: ', 0, '\n')('Episode: ', 2, 'score -145.00', 'average_score -135.00', 'epsilon 0.01')('\nAtravessou: ', 0, '\n')
